source,target
प्रोवेंसल,फ्रेंच
हिंदी,अंग्रेजी <OR> हिंदी
फ्रेंच इमर्शन,फ्रेंच भाषा <OR> फ्रेंच <OR> फ्रेंच भाषा <OR> फ्रेंकोफोन <OR> फ्रेंकोफोन
स्ट्रोम्सुंड नगर पालिका,स्वीडिश
पूर्वी गिरजाघर,बल्गेरियाई
उत्तर ओसेतिया-अलानिया,ओसेटे <OR> रूसी <OR> ओस्सेटियन
कुहमोइनेन,फिनिश
इटली,इतालवी भाषा <OR> इतालवी भाषा <OR> मानक इतालवी <OR> इतालवी भाषा <OR> मानक इतालवी <OR> इतालवी <OR> इटैलियनीकृत <OR> पुरानी इतालवी <OR> इतालवी बोली <OR> इटैलियनीकृत
सीएल,ईएस
कोस्की टीएल,फिनिश
कन्नुसजार्वि,फिनिश
आर्जेप्लोग नगर पालिका,स्वीडिश
लक्ज़मबर्गिश,लक्ज़मबर्ग <OR> फ्रेंच <OR> फ्रेंकोफोन
पश्चिमी पापुआ,इंडोनेशियाई <OR> इंडोनेशिया
संयुक्त राज्य अमेरिका,अंग्रेजी भाषा <OR> अंग्रेजी <OR> अंग्रेजीकृत
नाइजीरियाई,अंग्रेजी
प्राचीन यूनानी,अल्बानिया <OR> साइप्रस <OR> इटली <OR> ग्रीस
पिर्क्कला,फिनिश
अरानीस,कैटलन
उत्तरी अटलांटिक संधि संगठन,फ्रेंच
टी.एच.,थाई
कोसोवो,सर्ब <OR> सर्बियाई भाषा <OR> सर्बियाई सिरिलिक <OR> अल्बानियाई <OR> अल्बानियाई <OR> सर्बियाई <OR> अल्बानियाई भाषी <OR> अल्बानियाई भाषा
संघ,अंग्रेजी भाषा <OR> अंग्रेजी <OR> डच <OR> अंग्रेज़ी भाषी
किमिटोऑन,स्वीडिश <OR> फिनिश
कैनरी द्वीपसमूह,स्पेनिश
रवांडा,किन्यारवांडा <OR> रवांडा
न्यू जर्सी,अंग्रेजी भाषा <OR> अंग्रेजी
तैनियोंकोस्की,फिनिश
विची,फ्रेंच
न्यूफ़ाउंडलैंड,अंग्रेजी भाषा <OR> अंग्रेजी
क्लीव्स की डची,डच
क्रास्नोयार्स्क क्राय,रूसी
ऑस्ट्रिया,डीई <OR> जर्मन <OR> जर्मेनिक <OR> जर्मन भाषा <OR> जर्मन भाषा
समकालीनों,स्पेनिश
यूरोपीय अंतरिक्ष एजेंसी (ईएसए),अंग्रेजी <OR> फ्रेंच
अचेमेनिड्स,एलामाइट <OR> पुरानी फ़ारसी
बोरिकेन,स्पेनिश
याकूतिया,रूसी
रिबागोर्सा,कैटलन
पूर्वी कालीमंतन,इंडोनेशियाई <OR> इंडोनेशिया
अल्बानिया,अल्बानियाई भाषाविज्ञान <OR> अल्बानियाई <OR> अल्बानियाई <OR> अल्बानियाई भाषा <OR> अल्बानियाई भाषी <OR> अल्बानियाई भाषा
लिएज (प्रांत),वालून <OR> फ्रेंच
डोनेट्स्क क्षेत्र,यूक्रेनी <OR> रूसी
कीवन रूस,पुरानी रूसी <OR> पूर्वी स्लाविक <OR> पुरानी पूर्वी स्लाविक
तैमूरी,फारसी
पाल्काने,फिनिश
इंडोनेशिया,बहासा इंडोनेशिया <OR> इंडोनेशियाई <OR> इंडोनेशियाई भाषा <OR> इंडोनेशिया
तोहोलाम्पी,फिनिश
