source,target
প্রোভেনসাল,ফরাসি
হিন্দ।,ইংরেজি <OR> হিন্দি
ফরাসি ভাষার নিমজ্জন,ফরাসি ভাষা <OR> ফরাসি <OR> ফরাসি ভাষা <OR> ফ্রাঙ্কোফোন <OR> ফ্রাঙ্কোফোন
স্ট্রোমসুন্ড পৌরসভা,সুইডিশ
অর্থডক্স গির্জা,বুলগেরিয়ান
উত্তর ওসেতিয়া-আলানিয়া,ওসেটি <OR> রুশ <OR> অসেতিয়ান
কুহমোইনেন,ফিনিশ
ইতালি,ইতালীয় ভাষা <OR> ইতালীয় ভাষা <OR> মানক ইতালীয় <OR> ইতালীয় ভাষা <OR> মানক ইতালীয় <OR> ইতালীয় <OR> ইতালীয়কৃত <OR> পুরাতন ইতালীয় <OR> ইতালীয় স্থানীয় ভাষা <OR> ইতালীয়কৃত
CL.,ইএস।
কস্কি টিএল,ফিনিশ
কান্নুসজারভি,ফিনিশ
আরজেপ্লগ পৌরসভা,সুইডিশ
লাক্সেমবার্গিশ,লুক্সেমবার্গ <OR> ফরাসি <OR> ফ্রাঙ্কোফোন
পাপুয়া বারাত,ইন্দোনেশিয়ান <OR> ইন্দোনেশিয়া
মার্কিন যুক্তরাষ্ট্র,ইংরেজি ভাষা <OR> ইংরেজি <OR> এংলিকাইজড
নাইজেরিয়ান,ইংরেজি
প্রাচীন গ্রীক,আলবেনিয়া <OR> সাইপ্রাস <OR> ইতালি <OR> গ্রীস
পির্ক্কালা,ফিনিশ
আরানিজ,কাতালান
উত্তর আটলান্টিক জোট,ফরাসি
থ.,থাই
কসোভো,সার্ব। <OR> সার্বিয়ান ভাষা <OR> সার্বিয়ান সিরিলিক <OR> শ্কিপ <OR> আলবেনিয়ান <OR> সার্বিয়ান <OR> আলবেনিয়ান ভাষায় কথা বলা <OR> আলবেনিয়ান ভাষা
ঐক্য,ইংরেজি ভাষা <OR> ইংরেজি <OR> ডাচ <OR> অ্যাংলোফোন
কিমিতোয়ন।,সুইডিশ <OR> ফিনিশ
ক্যানারি দ্বীপপুঞ্জ,স্প্যানিশ
রুান্ডা,কিন্যরওয়ান্ডা <OR> রুয়ান্ডা
নিউ জার্সি,ইংরেজি ভাষা <OR> ইংরেজি
তাইনিওনকোস্কি,ফিনিশ
ভিশি,ফরাসি
নিউফাউন্ডল্যান্ড,ইংরেজি ভাষা <OR> ইংরেজি
ক্লিভস ডিউকডম,ডাচ
ক্রাসনোইয়ার্সক ক্রাই,রুশ
অস্ট্রিয়া,ডিই। <OR> জার্মান <OR> জার্মানিক <OR> জার্মান ভাষা <OR> জার্মান-ভাষা
লস কন্টেম্পোরানিওস।,স্প্যানিশ
ইউরোপীয় মহাকাশ সংস্থা (ইসা),ইংরেজি <OR> ফরাসি
আখেমেনিডস,এলামite <OR> পুরাতন পার্সিয়ান
বোরিকেন,স্প্যানিশ
ইয়াকুতিয়া,রুশ
রিবাগোর্সা,কাতালান
কালিমান্তান তিমুর,ইন্দোনেশিয়ান <OR> ইন্দোনেশিয়া
আলবেনিয়া,আলবেনিয়ান ভাষাতত্ত্ব <OR> শ্কিপ <OR> আলবেনিয়ান <OR> আলবেনিয়ান ভাষা <OR> আলবেনিয়ান-ভাষী <OR> আলবেনিয়ান ভাষা
লিজে (প্রদেশ),ওয়ালুন <OR> ফরাসি
ডোনেৎস্ক অঞ্চল,ইউক্রেনীয় <OR> রুশ
কিয়েভান রুশ।,পুরাতন রুশ <OR> পূর্ব স্লাভিক <OR> পুরাতন পূর্ব স্লাভিক
তিমুরিদ,ফারসি
পালকানে,ফিনিশ
ইন্দোনেশিয়া,ইন্দোনেশিয়ান ভাষা <OR> ইন্দোনেশিয়ান <OR> ইন্দোনেশিয়ান ভাষা <OR> ইন্দোনেশিয়া
তোহোলামপি।,ফিনিশ
মাল্টিজ,ইউরোপীয় ইউনিয়ন <OR> মাল্টা <OR> ইংরেজি <OR> মাল্টিজ দ্বীপপুঞ্জ <OR> মাল্টিজ দ্বীপপুঞ্জ <OR> ইউরোপ <OR> ইইউ <OR> মাল্টিজ দ্বীপপুঞ্জ
হাওয়াই,হাওয়াইয়ান ভাষা <OR> ইংরেজি <OR> হাওয়াইয়ান <OR> স্থানীয় হাওয়াইয়ান
এসএমওএম,লাতিন
লগার প্রদেশ,দারি।
পোসিও,ফিনিশ
বাইজেন্টাইন সাম্রাজ্য,মধ্যযুগীয় গ্রীক <OR> মধ্যযুগীয় গ্রীক <OR> লাতিন
বনি মারঘনিন,আমাজিগ
সিআইএস দেশগুলি,রুশ ভাষা <OR> রুশ
ম্যানসেরক,ফিনিশ
চেক প্রজাতন্ত্র,চেক
আনাদির,চুকচি <OR> রুশ
বাইজেন্টাইনরা,মধ্যযুগীয় গ্রীক <OR> লাতিন
অরিভেসি,ফিনিশ
আদিগেহা,আদিগে ভাষা <OR> রুশ <OR> আদিগেহ <OR> চেরকেসিয়ান
মার্শালস,মার্শালিজ
তিভা,তুভান <OR> তুভিন। <OR> তুভা <OR> টিভান <OR> তুভিনিয়ান <OR> রুশ
রাজস্থান,মানক হিন্দি <OR> হিন্দি <OR> হিন্দি <OR> হিন্দি ভাষা <OR> হিন্দি ভাষা
মালয়,ইংরেজি
ইন্দোনেশীয় দ্বীপপুঞ্জ,ইন্দোনেশিয়া
ডাচ ভাষা ইউনিয়ন,ডাচ <OR> ডাচ ভাষা
কেপ ভার্দিয়ান,সাল
উলভিলা,ফিনিশ
ফরমেন্টেরা,স্প্যানিশ <OR> কাতালান
জার্মান-ভাষী সম্প্রদায়,জার্মানভাষী <OR> জার্মান ভাষা
রাউটজার্ভি,ফিনিশ
চাদ,ফরাসি
বর্গো,সুইডিশ <OR> সুইডিশ ভাষা <OR> ফিনিশ
এসএসএসআর,রুশ
পোলিশ জাতি,পোলিশ
বিশ্ব এস্পেরান্তো যুব সংগঠন,এস্পেরান্তো
ভিনসেন্টিয়ান,স্প্যানিশ
চেক প্রজাতন্ত্র,চেক ভাষা <OR> চেক <OR> চেক ভাষা <OR> চেক ভাষা
ফ্র যুগোস্লাভিয়া,সার্বিয়ান <OR> সার্বিয়ান সিরিলিক
পিএইচ,ফিলিপিনো
চিতা,রুশ
মেডিসি ফ্লোরেন্স,লাতিন
বায়ানো,পোর্তুগিজ
আছে,ইন্দোনেশিয়ান <OR> ইন্দোনেশিয়া <OR> আছেনিজ
এসইউআই,জার্মান
গ্রিক-ভাষা,সাইপ্রিয়ট <OR> গ্রীস <OR> সাইপ্রাস <OR> ইউরোপ
ফ্লোরেন্টাইন,লাতিন
বেলারুশিয়ান,রুশীকৃত <OR> রুশ <OR> বেলারুশিয়ান ভাষা
ইলিটর্নিও,ফিনিশ
প্যালেস্টাইনি অঞ্চলসমূহ,হিব্রু
আবাজা,কারাচায়-চেরকেসিয়া <OR> কারাচায়-চেরকেস প্রজাতন্ত্র <OR> কারাচায়–চেরকেস প্রজাতন্ত্র
এসসি,ইংরেজি
নেপালি সাহিত্য,নেপালি ভাষা <OR> নেপালি
যুগোস্লাভ,সার্বো-ক্রোয়েশিয়ান <OR> সার্বিয়ান
তানজানিয়া,সোয়াহিলি <OR> ইংরেজি ভাষা <OR> ইংরেজি <OR> সোয়াহিলি ভাষা <OR> কিসওয়াহিলি ভাষা <OR> সোয়াহিলি <OR> অ্যাংলোফোন <OR> কিসওয়াহিলি
উত্তর সুমাত্রা,ইন্দোনেশীয় <OR> ইন্দোনেশিয়া
ওডেসা,ইউক্রেনীয় <OR> রুশ
কিমি,ফিনিশ
বাহ্যিক মঙ্গোলিয়া,মঙ্গোল <OR> মঙ্গোলিয়ান
ডব্লিউটিও,ফরাসি
বিশ্বজনীন এস্পেরান্তো সমিতি,এস্পেরান্তো
আলাজার্ভি,ফিনিশ
সিয়েরা লিওন,ইংরেজি ভাষা <OR> ইংরেজি
রিউকিউস,সাহিত্যিক চীনা
সুইডেন–নরওয়ে,সুইডিশ <OR> নরওয়েজিয়ান
স্টকহোম,সুইডিশ
কেরালীরা,മലയാളം
সাখা প্রজাতন্ত্র,রুশ
বুর্কিনাবি,ফরাসি
ইনকা,কেচুয়া
চেকোস্লোভাক,চেক ভাষা <OR> চেক <OR> চেক ভাষা <OR> স্লোভাক
বুলগেরিয়ান অর্থোডক্স চার্চ,বুলগেরিয়ান ভাষা <OR> বুলগেরিয়ান
নর্ড,ডাচ
বিশেষ পৌরসভা,ডাচ
লাপ্পাজারভি,ফিনিশ
হেইলুতো,ফিনিশ
তাতারস্তান,ভলগা তাতার <OR> তাতার ভাষা <OR> তাতার <OR> রুশ <OR> তাতার ভাষা
চীন,গুয়ো। <OR> মানচু <OR> ক্যানটোনিজ <OR> তিব্বতি <OR> খালখা মঙ্গোলিয়ান <OR> পুতংহুয়া <OR> মানক তিব্বতি <OR> চীনা ভাষা <OR> ম্যান্ডারিন চীনা <OR> মঙ্গোলিয়ান ভাষা <OR> মঙ্গোলিয়ান <OR> খালখা-মঙ্গোলিয়ান <OR> সরলীকৃত চীনা <OR> চীনা <OR> ম্যান্ডারিন <OR> প্রথাগত চীনা <OR> মানচু ভাষা <OR> মঙ্গোল <OR> চীনা ভাষা <OR> মানক ম্যান্ডারিন <OR> আধুনিক মানক চীনা <OR> মঙ্গোলিয়ান ভাষা <OR> মানক চীনা <OR> তিব্বতি ভাষা
ফিনিশ অর্থোডক্স গির্জা,ফিনিশ
উত্তর আটলান্টিক চুক্তি সংস্থা (ন্যাটো),ইংরেজি <OR> ফরাসি
বাস্কোর্ত,বাস্কোর্তোস্তান
অক্রোটিরি,ইংরেজি
কারুজ,ফরাসি
জনক্কালা,ফিনিশ
রুশ প্রজাতন্ত্র,রুশ
ওয়েলসের প্রিন্সিপ্যালিটি,ওয়েলশ
টাম্মারফোর্স,ফিনিশ
স্লোভেনিয়া,স্লোভেনীয় ভাষা <OR> স্লোভেনীয় ভাষা <OR> স্লোভেনিয়ান ভাষা <OR> স্লোভেনীয় <OR> স্লোভেনীয় ভাষা <OR> স্লোভেনিয়ান
তেউভা,ফিনিশ
কুমলিঙ্গে,সুইডিশ
ফকল্যান্ড দ্বীপপুঞ্জ,ইংরেজি
ল'আইল,ফরাসি
আরএসএফএসআর,রুশ
চিং রাজবংশ,চীনা
ফরাসি দক্ষিণ ও অ্যান্টার্কটিক অঞ্চল,ফরাসি
পিএমআর,মলদোভান <OR> রুশ <OR> মলদোভা
সিএ।,ইংরেজি
টিএএএফ,ফরাসি
"ভেজাক, ডরডোন।",ফরাসি
ফ্লেমিশ কমিউনিটি,ডাচ
লামোনে,ইতালীয়
কঙ্গো প্রজাতন্ত্র,ফরাসি
পুয়োলাঙ্কা,ফিনিশ
কেবেকোইজ,ফরাসি
গ্রীস,আধুনিক গ্রীক
উসিকaupunki,ফিনিশ
আপসালা,সুইডিশ
জুভাস্কুলা,ফিনিশ
ফিলিপাইন দ্বীপপুঞ্জ,পিলিপিনো <OR> ইংরেজি <OR> ফিলিপিনো
স্প্যানিশ উপনিবেশিক সাম্রাজ্য,স্প্যানিশ
বজন,ইংরেজি
ইউরোপ,NL <OR> আইরিশ ভাষা <OR> ফিনিশ <OR> ফরাসি <OR> লাতভিয়ান ভাষা <OR> ফ্রাঙ্কোফোন <OR> জার্মান ভাষা <OR> গ্রিক ভাষা <OR> চেক <OR> শব্দশব্দে ইংরেজি <OR> সুইডিশ <OR> ফরাসি ভাষা <OR> ডাচ ভাষা <OR> ইতালীয় ভাষা <OR> ইংরেজি ভাষা <OR> পোর্তুগিজ <OR> এফআর <OR> ফরাসি ভাষা <OR> গ্রিক <OR> ড্যানিশ <OR> স্লোভাক <OR> এস্তোনিয়ান <OR> লিথুয়ানিয়ান ভাষা <OR> রোমানিয়ান <OR> স্প্যানিশ <OR> ইংরেজি <OR> ক্রোয়েশিয়ান <OR> মাল্টিজ <OR> স্লোভেনীয় <OR> স্প্যানিশ ভাষা <OR> জার্মান ভাষা <OR> লাতভিয়ান <OR> অ্যাংলোফোন <OR> লিথুয়ানিয়ান <OR> অ্যাংলোফোন <OR> বুলগেরিয়ান <OR> হাঙ্গেরিয়ান <OR> ডাচ <OR> পোলিশ <OR> ডিই। <OR> পোলিশ ভাষা <OR> ইতালীয় <OR> ব্রিটিশ ইংরেজি <OR> আইরিশ
বসনিয়া ও হার্জেগোভিনার ফেডারেশন,ক্রোয়েশিয়ান <OR> সার্বিয়ান
সিপু,সুইডিশ <OR> ফিনিশ ভাষা <OR> ফিনিশ
আলাস্কা,ইংরেজি
হন্ডুরাস,স্প্যানিশ <OR> হিস্পানিক <OR> স্প্যানিশ ভাষা
কেপ ভার্দে দ্বীপপুঞ্জ,পোর্তুগিজ
